# ell tt ee te bb
1.040000000000000000e+02 1.625741997263183913e+00 4.793587903912701611e-04 -1.485563924817923966e-02 6.001677410967479623e-07
1.050000000000000000e+02 1.613165898349157468e+00 4.782470333654607344e-04 -1.494865895697574353e-02 6.003819832540030259e-07
1.060000000000000000e+02 1.600876110461036061e+00 4.769732758478963390e-04 -1.503457032229541489e-02 6.006048051452761869e-07
1.070000000000000000e+02 1.588859242259948346e+00 4.755430406456643893e-04 -1.511348206588561394e-02 6.008366405035748116e-07
1.080000000000000000e+02 1.577098629527748708e+00 4.739536811527310552e-04 -1.518542288774889920e-02 6.010778807413062606e-07
1.090000000000000000e+02 1.565590226117732797e+00 4.722106856828537920e-04 -1.525038748650661691e-02 6.013288712997799744e-07
1.100000000000000000e+02 1.554318559169928227e+00 4.703116586050150923e-04 -1.530849247868235063e-02 6.015899092593271999e-07
1.110000000000000000e+02 1.543272773258042685e+00 4.682620327123380435e-04 -1.535981534892353305e-02 6.018612424353522995e-07
1.120000000000000000e+02 1.532446246287612501e+00 4.660670044810963971e-04 -1.540432397138759638e-02 6.021430697991936708e-07
1.130000000000000000e+02 1.521828988681042771e+00 4.637243000195179037e-04 -1.544217595836006388e-02 6.024355432562721661e-07
1.140000000000000000e+02 1.511411475520908487e+00 4.612354961365138688e-04 -1.547338073620181491e-02 6.027387706080901353e-07
1.150000000000000000e+02 1.501184530247428928e+00 4.586091873857430033e-04 -1.549801888568829583e-02 6.030528196527536047e-07
1.160000000000000000e+02 1.491142837365503349e+00 4.558466311866388025e-04 -1.551617033929753378e-02 6.033777231281029262e-07
1.170000000000000000e+02 1.481277896370114089e+00 4.529457388746829620e-04 -1.552788151967670997e-02 6.037134843898433501e-07
1.180000000000000000e+02 1.471578296783427442e+00 4.499146505525083366e-04 -1.553320128098594974e-02 6.040600835686416003e-07
1.190000000000000000e+02 1.462039777753499692e+00 4.467545432876283713e-04 -1.553224601121562347e-02 6.044174839871158750e-07
1.200000000000000000e+02 1.452655009348261972e+00 4.434698386864253678e-04 -1.552506540654408941e-02 6.047856385975964718e-07
1.210000000000000000e+02 1.443417011414813267e+00 4.400616118627435772e-04 -1.551171101576652792e-02 6.051644961325500727e-07
1.220000000000000000e+02 1.434316024354275410e+00 4.365340782906440738e-04 -1.549229823078040504e-02 6.055540070222171410e-07
1.230000000000000000e+02 1.425348922720976796e+00 4.328912789714195052e-04 -1.546687866416303694e-02 6.059541285097113292e-07
1.240000000000000000e+02 1.416509663271384722e+00 4.291340777454380321e-04 -1.543550532727779034e-02 6.063648290644264167e-07
1.250000000000000000e+02 1.407789520336820477e+00 4.252692985438123762e-04 -1.539829172236277521e-02 6.067860918667609837e-07
1.260000000000000000e+02 1.399186054679462110e+00 4.212975880405886095e-04 -1.535531951132986656e-02 6.072179172851829386e-07
1.270000000000000000e+02 1.390691191385965420e+00 4.172253804318109627e-04 -1.530664132423575560e-02 6.076603242443576634e-07
